Age group,Prevalent cases,Tested,IMD 1988-92,IMD 1998-99,Prevalence,Incident cases,Incidence,Incidence CI-low,Incidence CI-high,UK pop 1988-92,UK pop 1998-99,Incident cases (1988),Incident cases CI-low,Incident cases CI-high,CC ratio 1988-92,CC ratio 1988-92 CI-low,CC ratio 1988-92 CI-high,CC ratio 1998-99,CC ratio 1998-99 CI-low,CC ratio 1998-99 CI-high
0,4,1970,243,332,0.0020304568527918783,5.333333333333333,0.0027072758037225042,0.0008246023704799565,0.005912992269921219,938077.5,914836.75,2539.6345177664975,773.5409301939114,5546.845006087022,0.09568305923551092,0.043808687593277905,0.3141398089162324,0.13072747187732356,0.05985384477764717,0.4291951298773216
1-4,5,2102,275,420,0.002378686964795433,6.666666666666667,0.003171582619727244,0.0010482214685123275,0.006202452215765266,2814232.5,2744510.25,8925.570884871551,2949.9389238851186,17455.142605303623,0.030810354155173744,0.0157546693383326,0.09322226903525868,0.04705581361881081,0.024061676807635244,0.14237582907203145
5-9,13,475,67,117,0.02736842105263158,17.333333333333332,0.036491228070175435,0.020984346523973935,0.05668526185460768,3729784.0,3851567.0,136104.39859649123,78267.0799155736,211423.78270112604,0.0004922691749194302,0.00031689906946141854,0.0008560431802524463,0.0008596342308294528,0.0005533909123430742,0.00149488137447069
10-14,17,597,36,71,0.02847571189279732,22.666666666666668,0.0379676158570631,0.023235723534156205,0.05526303981151569,3501911.0,3783989.0,132959.2116136237,81369.43583722049,193526.2470093847,0.00027075972821360544,0.00018602127905810236,0.0004424265650805049,0.0005339983528657218,0.00036687530036459074,0.0008725635033532181
15-19,40,669,111,149,0.059790732436472344,53.333333333333336,0.07972097658196313,0.059903896680398236,0.10234650902221233,3973188.0,3679226.0,316746.4275037369,238009.4434437981,406641.9214889458,0.00035043804874070896,0.0002729674294120151,0.0004663680499139975,0.0004704078311924832,0.00036641573858009236,0.0006260255805151858
20-24,33,394,56,62,0.08375634517766498,44.0,0.1116751269035533,0.08232521630190405,0.14700906389074983,4451961.0,3590505.0,497173.30964467005,366508.65229264105,654478.6190881265,0.0001126367785913995,8.556429250205884e-05,0.0001527931186609108,0.00012470500486904944,9.473189527013657e-05,0.00016916380994600838
25-29,19,438,21,30,0.04337899543378995,25.333333333333332,0.0578386605783866,0.03727450252496783,0.08310746366362926,4425188.0,4323700.0,255946.94672754945,164946.68127945732,367766.15091472823,8.204825362638176e-05,5.7101503082237565e-05,0.00012731386795482844,0.0001172117908948311,8.157357583176796e-05,0.00018187695422118346
30-34,20,421,14,26,0.047505938242280284,26.666666666666668,0.06334125098970705,0.04073515603710614,0.0891825641577727,4112789.0,4495511.0,260509.2003167063,167535.10166269372,366789.06885988184,5.374090428660453e-05,3.81690764218172e-05,8.356457757841611e-05,9.980453653226556e-05,7.088542764051765e-05,0.00015519135835991563
35-39,13,362,12,23,0.03591160220994475,17.333333333333332,0.04788213627992633,0.027591297766358817,0.07412659704456906,3831256.0,4307850.0,183448.72191528542,105709.32511514882,283997.96968658746,6.541337478241721e-05,4.2253823198957646e-05,0.0001135188403381484,0.000125375634999633,8.098649446466882e-05,0.00021757777731478445
40-44,13,342,11,18,0.038011695906432746,17.333333333333332,0.050682261208576995,0.029219629262070914,0.07839555705422464,4106097.0,3969514.0,208106.28070175438,119978.63205410159,321899.76163368067,5.285760700209019e-05,3.417212844201454e-05,9.16829923101624e-05,8.649426600342032e-05,5.5918028359660156e-05,0.00015002671468935665
45-49,13,248,12,23,0.05241935483870968,17.333333333333332,0.06989247311827956,0.04043609293607455,0.10748568043657084,3373143.0,3818145.0,235757.30645161288,136396.72383466933,362564.5705648559,5.089980107345218e-05,3.3097552751237256e-05,8.797865273175893e-05,9.755795205745001e-05,6.343697610653808e-05,0.00016862575106920462
50-54,4,228,11,30,0.017543859649122806,5.333333333333333,0.023391812865497075,0.007158005374861706,0.05043208531891717,3117997.0,3874537.0,72935.60233918128,22318.639284802674,157247.09072812778,0.00015081797705385864,6.995359945334976e-05,0.0004928615880041656,0.00041132175560143263,0.00019078254396368116,0.001344167967284088
55-59,6,258,7,17,0.023255813953488372,8.0,0.031007751937984496,0.013480129174175098,0.06018108193524931,2937327.0,3086195.0,91079.90697674418,39595.54738679222,176771.51685762007,7.68555901334785e-05,3.959913975076722e-05,0.00017678755471214856,0.00018664929032416209,9.616933939472038e-05,0.0004293412043009322
60-64,14,249,5,13,0.05622489959839357,18.666666666666668,0.0749665327978581,0.043403368843856364,0.11184338902007962,2949278.0,2838245.0,221097.14591700135,128008.60085707101,329857.2466823624,2.261449363926648e-05,1.5158072318522606e-05,3.9059875403081614e-05,5.879768346209285e-05,3.941098802815878e-05,0.0001015556760480122
65-100,13,686,19,51,0.018950437317784258,17.333333333333332,0.025267249757045675,0.014500808068342513,0.03938155678175024,9105622.0,9348474.0,230074.02526724976,132038.8769648771,358593.56982615415,8.258211668148957e-05,5.298477607730441e-05,0.0001438970130369564,0.00022166778688189308,0.00014222229368118553,0.00038624987709919874
