Age group,Prevalent cases,Tested,IMD 1988-92,IMD 1998-99,Prevalence,Incident cases,Incidence,Incidence CI-low,Incidence CI-high,UK pop 1988-92,UK pop 1998-99,Incident cases (1988),Incident cases CI-low,Incident cases CI-high,CC ratio 1988-92,CC ratio 1988-92 CI-low,CC ratio 1988-92 CI-high,CC ratio 1998-99,CC ratio 1998-99 CI-low,CC ratio 1998-99 CI-high
0,0,1970,65,105,0.0,0.0,0.0,0.0,0.0018707755555787797,938077.5,914836.75,0.0,0.0,1754.9324562384527,inf,0.03703846251685488,1.0,inf,0.059831362527227115,1.0
1-4,0,2102,114,211,0.0,0.0,0.0,0.0,0.0017533988913202615,2814232.5,2744510.25,0.0,0.0,4934.472145417448,inf,0.02310277505687608,1.0,inf,0.0427603994473759,1.0
5-9,0,475,29,89,0.0,0.0,0.0,0.0,0.007735984061865191,3729784.0,3851567.0,0.0,0.0,28853.5495781998,inf,0.0010050756466341614,1.0,inf,0.0030845425017393233,1.0
10-14,6,597,23,89,0.010050251256281407,8.0,0.01340033500837521,0.005802590370040013,0.026232544409809686,3501911.0,3783989.0,46926.78056951424,20320.155045337193,91864.03582670105,0.0004901252487570358,0.00025037001469638086,0.001131881127318354,0.0018965716147554864,0.0009688231003468651,0.004379887840492761
15-19,11,669,63,207,0.016442451420029897,14.666666666666666,0.02192326856003986,0.011486940790571708,0.034862476718454376,3973188.0,3679226.0,87105.26756352765,45639.77530581002,138515.1741480423,0.0007232628032977777,0.00045482381542304406,0.0013803748940012855,0.0023764349251212697,0.0014944211078185734,0.004535517508861367
20-24,3,394,26,44,0.007614213197969543,4.0,0.01015228426395939,0.0027728892083180605,0.02578860604827211,4451961.0,3590505.0,45197.57360406091,12344.794612752881,114809.86837127156,0.0005752521192346474,0.00022646136929554988,0.002106150876997217,0.0009735035863970956,0.00038324231726939213,0.0035642553303029826
25-29,1,438,8,25,0.00228310502283105,1.3333333333333333,0.0030441400304414,5.780154400243693e-05,0.01265445903839643,4425188.0,4323700.0,13470.891933028919,255.78269890105588,55998.36028320342,0.0005938730738671441,0.00014286132593063766,0.031276548548323166,0.0018558533558348256,0.00044644164353324276,0.09773921421350988
30-34,0,421,6,14,0.0,0.0,0.0,0.0,0.00872390791803617,4112789.0,4495511.0,0.0,0.0,35879.59252231206,inf,0.00016722597939953872,1.0,inf,0.00039019395193225703,1.0
35-39,3,362,7,24,0.008287292817679558,4.0,0.011049723756906077,0.0030186572926265767,0.02804857656076549,3831256.0,4307850.0,42334.32044198895,11565.248864319328,107461.27723989214,0.0001653504751444435,6.513974316882059e-05,0.0006052615107657681,0.0005669159147809491,0.0002233362622930992,0.0020751823226254906
40-44,2,342,8,13,0.005847953216374269,2.6666666666666665,0.007797270955165692,0.0007090005435100755,0.020964071348409996,4106097.0,3969514.0,32016.35087719298,2911.22500470509,86080.51047149223,0.00024987232400988093,9.293625184355063e-05,0.0027479840916007823,0.0004060425265160565,0.00015102140924576978,0.004465474148851271
45-49,2,248,7,24,0.008064516129032258,2.6666666666666665,0.01075268817204301,0.0009781468081032977,0.028826549750623,3373143.0,3818145.0,36270.354838709674,3299.4290587259816,97236.07450546572,0.00019299507907017286,7.198974285625367e-05,0.002121579180945606,0.0006616974139548783,0.00024682197550715546,0.007273985763242078
50-54,1,228,5,34,0.0043859649122807015,1.3333333333333333,0.005847953216374269,0.00011103685242729776,0.02419344024287529,3117997.0,3874537.0,18233.90058479532,346.21257275775713,75435.07409696442,0.00027421450373428844,6.62821646277299e-05,0.014441994293195325,0.0018646586253931612,0.00045071871946856336,0.09820556119372821
55-59,2,258,7,13,0.007751937984496124,2.6666666666666665,0.010335917312661497,0.0009401782291044194,0.027720557243548365,2937327.0,3086195.0,30359.968992248057,2761.610897160597,81424.34124652018,0.00023056677040043553,8.596937835587535e-05,0.0025347524545174644,0.00042819543074366597,0.00015965741694662564,0.004707397415532434
60-64,1,249,5,10,0.004016064257028112,1.3333333333333333,0.00535475234270415,0.00010167277468509473,0.022171742152386615,2949278.0,2838245.0,15792.653279785809,299.8612775777068,65390.63135170649,0.00031660291094973077,7.646355290725475e-05,0.01667437703324094,0.0006332058218994615,0.0001529271058145095,0.03334875406648188
65-100,0,686,23,36,0.0,0.0,0.0,0.0,0.0053629430957071456,9105622.0,9348474.0,0.0,0.0,48832.93263701909,inf,0.00047099362577631153,1.0,inf,0.0007372074142585746,1.0
