Age,Year,Coverage,Vaccine,Serogroup,Cohort
2,2007,54.08582592518325,MenC,C,2005
2,2008,61.425075013467534,MenC,C,2006
2,2009,61.77344517272174,MenC,C,2007
2,2010,64.67338982451591,MenC,C,2008
2,2011,75.90977973023413,MenC,C,2009
2,2012,81.06387846197184,MenC,C,2010
2,2013,77.05,MenC,C,2011
3,2013,70.44,MenC,C,2010
2,2014,73.94,MenC,C,2012
3,2014,74.73,MenC,C,2011
2,2015,76.62,MenC,C,2013
3,2015,78.97,MenC,C,2012
2,2016,14.72,MenB,B,2014
2,2016,80.67,MenC,C,2014
2,2016,18.28,MenACWY,C,2014
3,2016,7.69,MenB,B,2013
3,2016,81.27,MenC,C,2013
3,2016,5.83,MenACWY,C,2013
16,2016,50.14,MenC,C,2000
16,2016,19.69,MenACWY,C,2000
18,2016,46.16,MenC,C,1998
18,2016,7.64,MenACWY,C,1998
2,2017,38.57,MenB,B,2015
2,2017,82.64,MenC,C,2015
2,2017,28.56,MenACWY,C,2015
3,2017,21.86,MenB,B,2014
3,2017,85.22,MenC,C,2014
3,2017,20.85,MenACWY,C,2014
4,2017,14.14,MenB,B,2013
4,2017,84.6,MenC,C,2013
4,2017,7.92,MenACWY,C,2013
16,2017,51.01,MenC,C,2001
16,2017,33.23,MenACWY,C,2001
18,2017,46.77,MenC,C,1999
18,2017,13.59,MenACWY,C,1999
2,2018,46.06,MenB,B,2016
2,2018,84.93,MenC,C,2016
2,2018,45.82,MenACWY,C,2016
3,2018,44.07,MenB,B,2015
3,2018,86.81,MenC,C,2015
3,2018,31.7,MenACWY,C,2015
4,2018,26.08,MenB,B,2014
4,2018,86.51,MenC,C,2014
4,2018,23.08,MenACWY,C,2014
16,2018,53.57,MenC,C,2002
16,2018,52.77,MenACWY,C,2002
18,2018,51.04,MenC,C,2000
18,2018,29.17,MenACWY,C,2000
2,2019,68.98,MenB,B,2017
2,2019,79.44,MenC,C,2017
2,2019,46.58,MenACWY,C,2017
3,2019,49.66,MenB,B,2016
3,2019,83.23,MenC,C,2016
3,2019,48.04,MenACWY,C,2016
4,2019,36.01,MenB,B,2015
4,2019,85.69,MenC,C,2015
4,2019,27.19,MenACWY,C,2015
16,2019,52.42,MenC,C,2003
16,2019,74.92,MenACWY,C,2003
18,2019,44.96,MenC,C,2001
18,2019,58.31,MenACWY,C,2001
2,2020,66.3,MenB,B,2018
2,2020,70.96,MenC,C,2018
2,2020,51.27,MenACWY,C,2018
3,2020,71.0,MenB,B,2017
3,2020,73.08,MenC,C,2017
3,2020,50.31,MenACWY,C,2017
4,2020,44.45,MenB,B,2016
4,2020,79.01,MenC,C,2016
4,2020,33.16,MenACWY,C,2016
16,2020,58.57,MenC,C,2004
16,2020,52.88,MenACWY,C,2004
18,2020,53.95,MenC,C,2002
18,2020,55.1,MenACWY,C,2002
2,2021,79.68,MenB,B,2019
2,2021,73.37,MenC,C,2019
2,2021,54.16,MenACWY,C,2019
3,2021,78.73,MenB,B,2018
3,2021,74.07,MenC,C,2018
3,2021,44.0,MenACWY,C,2018
4,2021,73.73,MenB,B,2017
4,2021,73.57,MenC,C,2017
4,2021,48.6,MenACWY,C,2017
16,2021,58.95,MenC,C,2005
16,2021,58.5,MenACWY,C,2005
18,2021,53.47,MenC,C,2003
18,2021,62.22,MenACWY,C,2003
2,2022,80.91,MenB,B,2020
2,2022,85.6,MenC,C,2020
2,2022,55.43,MenACWY,C,2020
3,2022,81.79,MenB,B,2019
3,2022,87.0,MenC,C,2019
3,2022,55.57,MenACWY,C,2019
4,2022,80.69,MenB,B,2018
4,2022,84.61,MenC,C,2018
4,2022,53.05,MenACWY,C,2018
16,2022,77.86,MenC,C,2006
16,2022,63.77,MenACWY,C,2006
18,2022,71.84,MenC,C,2004
18,2022,63.79,MenACWY,C,2004
2,2023,79.6,MenB,B,2021
2,2023,83.76,MenC,C,2021
2,2023,57.33,MenACWY,C,2021
3,2023,81.71,MenB,B,2020
3,2023,78.89,MenC,C,2020
3,2023,56.97,MenACWY,C,2020
4,2023,81.29,MenB,B,2019
4,2023,77.17,MenC,C,2019
4,2023,56.98,MenACWY,C,2019
16,2023,77.34,MenC,C,2007
16,2023,56.98,MenACWY,C,2007
18,2023,70.52,MenC,C,2005
18,2023,57.26,MenACWY,C,2005
