Year,Age,Deaths,Region,Pop,Mortality rate
2011,0,400.8,Italia,553218,0.0007244883572118044
2011,1,400.8,Italia,561694,0.0007135557794813546
2011,2,400.8,Italia,569064,0.0007043144532073722
2011,3,400.8,Italia,565219,0.0007091056740838507
2011,4,400.8,Italia,565563,0.0007086743651900849
2011,5,48.4,Italia,562064,8.611119018474765e-05
2011,6,48.4,Italia,566952,8.536877901480195e-05
2011,7,48.4,Italia,561735,8.61616242534291e-05
2011,8,48.4,Italia,557192,8.686413300980631e-05
2011,9,48.4,Italia,562052,8.611302868773708e-05
2011,10,56.4,Italia,571096,9.875747685152759e-05
2011,11,56.4,Italia,561199,0.00010049910994139334
2011,12,56.4,Italia,561491,0.00010044684598684573
2011,13,56.4,Italia,559950,0.0001007232788641843
2011,14,56.4,Italia,561392,0.00010046455952347023
2011,15,146.0,Italia,560238,0.00026060352921436963
2011,16,146.0,Italia,567923,0.0002570771037623058
2011,17,146.0,Italia,581230,0.00025119143884520757
2011,18,146.0,Italia,604124,0.00024167223947401526
2011,19,146.0,Italia,603863,0.00024177669438266627
2011,20,230.8,Italia,612576,0.0003767695763464452
2011,21,230.8,Italia,610542,0.000378024771432596
2011,22,230.8,Italia,623820,0.0003699785194447116
2011,23,230.8,Italia,611599,0.0003773714476315364
2011,24,230.8,Italia,616494,0.0003743750952969534
2011,25,254.0,Italia,639200,0.00039737171464330416
2011,26,254.0,Italia,654087,0.00038832754664134894
2011,27,254.0,Italia,668204,0.00038012343535806433
2011,28,254.0,Italia,693946,0.0003660227164649699
2011,29,254.0,Italia,701935,0.000361856867088833
2011,30,352.8,Italia,723586,0.0004875716224470899
2011,31,352.8,Italia,751830,0.00046925501775667375
2011,32,352.8,Italia,794814,0.0004438774354754697
2011,33,352.8,Italia,822683,0.0004288407564031346
2011,34,352.8,Italia,861703,0.00040942180774582426
2011,35,572.8,Italia,902528,0.0006346617501063679
2011,36,572.8,Italia,942128,0.0006079853268345702
2011,37,572.8,Italia,938132,0.0006105750576677908
2011,38,572.8,Italia,947990,0.0006042257829723942
2011,39,572.8,Italia,959107,0.0005972222077411591
2011,40,953.0,Italia,951856,0.0010012018624665916
2011,41,953.0,Italia,979184,0.0009732593669831206
2011,42,953.0,Italia,972222,0.0009802287954808675
2011,43,953.0,Italia,977076,0.0009753591327593759
2011,44,953.0,Italia,990052,0.000962575703094383
2011,45,1596.6,Italia,989357,0.0016137754117067954
2011,46,1596.6,Italia,1003176,0.0015915452522787625
2011,47,1596.6,Italia,941770,0.0016953183898404068
2011,48,1596.6,Italia,911060,0.001752464162623757
2011,49,1596.6,Italia,893628,0.0017866494783064092
2011,50,2247.8,Italia,866805,0.002593201469765403
2011,51,2247.8,Italia,846821,0.002654398036893275
2011,52,2247.8,Italia,810088,0.0027747602729579998
