Year,Age,Deaths,Region,Pop,Mortality rate
2011,0-4,2004,Italia,2814758,0.0007119617388066753
2011,5-9,242,Italia,2809995,8.6121149681761e-05
2011,10-14,282,Italia,2815128,0.00010017306495477293
2011,15-19,730,Italia,2917378,0.0002502246880589351
2011,20-24,1154,Italia,3075031,0.00037528076952720153
2011,25-29,1270,Italia,3357372,0.0003782720532607051
2011,30-34,1764,Italia,3954616,0.00044606100819902613
2011,35-39,2864,Italia,4689885,0.0006106759547408945
2011,40-44,4765,Italia,4870390,0.000978361075807071
2011,45-49,7983,Italia,4738991,0.0016845358009753553
2011,50-54,11239,Italia,4115911,0.0027306226981098475
2011,55-59,16046,Italia,3710147,0.004324896021640113
2011,60-64,25861,Italia,3824379,0.006762143605537003
2011,65-69,33930,Italia,3051944,0.01111750412196292
2011,70-74,53831,Italia,3106471,0.017328666515798796
2011,75-79,78610,Italia,2528778,0.03108616098368461
2011,80-84,112457,Italia,1931624,0.05821888731968541
2011,85-89,126291,Italia,1156291,0.1092207757389792
2011,90-94,70261,Italia,352534,0.19930276228675817
2011,95-100,41843,Italia,126874,0.32979964374103443
2012,0-4,1911,Italia,2783769,0.0006864793738273542
2012,5-9,202,Italia,2819562,7.164233309996375e-05
2012,10-14,250,Italia,2830915,8.831066987175525e-05
2012,15-19,648,Italia,2896250,0.00022373759171342254
2012,20-24,1019,Italia,3099677,0.0003287439304159756
2012,25-29,1181,Italia,3314664,0.0003562955400607724
2012,30-34,1619,Italia,3809575,0.0004249817893072062
2012,35-39,2877,Italia,4601481,0.0006252334846107156
2012,40-44,4725,Italia,4846233,0.0009749840752601041
2012,45-49,7984,Italia,4838039,0.0016502554030672345
2012,50-54,11315,Italia,4219694,0.0026814740594934133
2012,55-59,16096,Italia,3771147,0.004268197447620047
2012,60-64,25313,Italia,3754974,0.006741191816507917
2012,65-69,34985,Italia,3179331,0.011003887295786441
2012,70-74,54122,Italia,3127001,0.01730795736873765
2012,75-79,78818,Italia,2537412,0.03106235802463297
2012,80-84,115208,Italia,1963059,0.05868799664197561
2012,85-89,131093,Italia,1177107,0.11136880504491095
2012,90-94,82190,Italia,408707,0.20109760782174027
2012,95-100,41327,Italia,126588,0.3264685436218283
2013,0-4,1815,Italia,2761737,0.0006571950913501177
2013,5-9,207,Italia,2836532,7.297643742429136e-05
2013,10-14,241,Italia,2836934,8.495086597009307e-05
2013,15-19,610,Italia,2865512,0.0002128764423251412
2013,20-24,959,Italia,3125714,0.0003068099000740311
2013,25-29,1149,Italia,3278455,0.0003504699622230593
2013,30-34,1560,Italia,3721266,0.00041921217134168853
2013,35-39,2659,Italia,4499274,0.0005909842343453632
2013,40-44,4555,Italia,4833220,0.0009424358916002169
2013,45-49,7767,Italia,4912951,0.0015809235630479521
2013,50-54,11343,Italia,4328297,0.002620661197695075
2013,55-59,15924,Italia,3848124,0.004138120289263028
2013,60-64,24067,Italia,3687838,0.006526045883794245
2013,65-69,35060,Italia,3304792,0.010608837106843638
2013,70-74,52089,Italia,3104623,0.016777882531953156
2013,75-79,76831,Italia,2577066,0.0298133613962545
2013,80-84,110882,Italia,1981859,0.05594848069413616
2013,85-89,127394,Italia,1201229,0.10605305066727493
2013,90-94,89084,Italia,458180,0.1944301366275263
2013,95-100,36548,Italia,113706,0.32142543049619193
2014,0-4,1717,Italia,2707604,0.000634139999793175
2014,5-9,206,Italia,2846970,7.235762933926244e-05
2014,10-14,241,Italia,2840653,8.483964778520995e-05
2014,15-19,565,Italia,2850419,0.00019821647273611352
2014,20-24,877,Italia,3099555,0.0002829438419386009
2014,25-29,1069,Italia,3266140,0.0003272976663584537
2014,30-34,1410,Italia,3628726,0.00038856612486035043
2014,35-39,2538,Italia,4374615,0.000580165340264229
2014,40-44,4304,Italia,4809514,0.0008948929143360431
2014,45-49,7387,Italia,4949356,0.0014925174103459116
2014,50-54,11379,Italia,4457493,0.0025527802287070335
2014,55-59,15781,Italia,3920002,0.004025763252161606
2014,60-64,23198,Italia,3615804,0.006415723861138491
2014,65-69,35631,Italia,3441090,0.010354567884013496
2014,70-74,49874,Italia,3041127,0.016399841243065483
2014,75-79,75696,Italia,2644574,0.02862313552201602
2014,80-84,109415,Italia,2010325,0.05442652307462724
2014,85-89,125989,Italia,1227348,0.10265140775069499
2014,90-94,97406,Italia,510073,0.19096482268224352
2014,95-100,33681,Italia,104529,0.32221680107912637
2015,0-4,1678,Italia,2639830,0.0006356469924199664
2015,5-9,181,Italia,2839650,6.374024967865759e-05
2015,10-14,232,Italia,2845693,8.15267142309448e-05
2015,15-19,648,Italia,2847440,0.00022757283735565982
2015,20-24,901,Italia,3060268,0.00029441865875799115
2015,25-29,1047,Italia,3235616,0.0003235859879540712
2015,30-34,1452,Italia,3548205,0.00040922100047770634
2015,35-39,2350,Italia,4189436,0.0005609346938346832
2015,40-44,4308,Italia,4773914,0.0009024041907751166
2015,45-49,7662,Italia,4922880,0.0015564060062402496
2015,50-54,11926,Italia,4606435,0.0025889869280691035
2015,55-59,16525,Italia,3991998,0.004139531132029625
2015,60-64,23995,Italia,3612371,0.006642451730456257
2015,65-69,37615,Italia,3551096,0.010592504398641997
2015,70-74,49951,Italia,2958073,0.01688633106755648
2015,75-79,80580,Italia,2716379,0.029664490853448654
2015,80-84,116284,Italia,2043916,0.0568927490170829
2015,85-89,139013,Italia,1257686,0.11053076841119326
2015,90-94,109970,Italia,547392,0.20089807669823453
2015,95-100,41253,Italia,107219,0.3847545677538496
2016,0-4,1563,Italia,2563779,0.0006096469313462666
2016,5-9,219,Italia,2826949,7.746867736206066e-05
2016,10-14,262,Italia,2832275,9.250514162643105e-05
2016,15-19,569,Italia,2863240,0.00019872591888909068
2016,20-24,874,Italia,3011433,0.00029022727718000036
