Year,Age,IMD cases,Pop,IMD incidence
2014,0,13,512140,2.5383684148865544e-05
2015,0,11,499940,2.200264031683802e-05
2016,0,13,482977,2.6916395604759645e-05
2017,0,11,469956,2.3406446560954643e-05
2018,0,7,455066,1.5382384093735854e-05
2019,0,8,431007,1.8561183461057477e-05
2020,0,8,414974,1.927831623186031e-05
2021,0,3,404956,7.408212250219777e-06
2022,0,8,400626,1.9968748907959043e-05
2023,0,8,393920,2.0308692120227456e-05
2014,1-4,11,2195464,5.010330390295628e-06
2015,1-4,7,2139890,3.271196182981368e-06
2016,1-4,7,2080802,3.364087500877066e-06
2017,1-4,9,2021328,4.452518344375578e-06
2018,1-4,11,1959218,5.614484962878046e-06
2019,1-4,12,1907745,6.290148840646942e-06
2020,1-4,3,1849564,1.6220038884839887e-06
2021,1-4,0,1811554,0.0
2022,1-4,0,1742208,0.0
2023,1-4,4,1691324,2.3650110800769104e-06
2014,5-14,9,5687623,1.582383361203793e-06
2015,5-14,7,5685343,1.2312361804731921e-06
2016,5-14,4,5659224,7.0681068641213e-07
2017,5-14,9,5624201,1.600227303398296e-06
2018,5-14,8,5588388,1.4315398286589978e-06
2019,5-14,8,5533135,1.4458349561324638e-06
2020,5-14,1,5463016,1.830490703303816e-07
2021,5-14,0,5420035,0.0
2022,5-14,6,5346961,1.122132740448266e-06
2023,5-14,3,5258855,5.704663847928874e-07
2014,15-24,3,5949974,5.042038839161314e-07
2015,15-24,8,5907708,1.3541630696710128e-06
2016,15-24,14,5874673,2.3831113663688177e-06
2017,15-24,18,5852931,3.075382231569106e-06
2018,15-24,15,5840489,2.5682781013713063e-06
2019,15-24,14,5835983,2.3989103463803784e-06
2020,15-24,7,5826944,1.2013158183775235e-06
2021,15-24,2,5814353,3.439763633202181e-07
2022,15-24,9,5789458,1.5545496659618224e-06
2023,15-24,13,5833452,2.2285260939834595e-06
2014,25-100,18,46000716,3.9129825718364907e-07
2015,25-100,16,46062616,3.473532636531108e-07
2016,25-100,30,46066036,6.512390169625188e-07
2017,25-100,27,46098318,5.857046671420853e-07
2018,25-100,30,46094608,6.508353428236118e-07
2019,25-100,40,46108803,8.675133032622859e-07
2020,25-100,13,46086990,2.8207526679438167e-07
2021,25-100,7,45785315,1.5288744873765748e-07
2022,25-100,12,45750880,2.622900368255212e-07
2023,25-100,29,45819650,6.329162269899487e-07
