Region,Year,Age,Pop
Abruzzo,2002,0,10681
Abruzzo,2002,1,10706
Abruzzo,2002,2,10807
Abruzzo,2002,3,10761
Abruzzo,2002,4,10806
Abruzzo,2002,5,11090
Abruzzo,2002,6,11094
Abruzzo,2002,7,11587
Abruzzo,2002,8,12094
Abruzzo,2002,9,12462
Abruzzo,2002,10,12676
Abruzzo,2002,11,12855
Abruzzo,2002,12,12714
Abruzzo,2002,13,12810
Abruzzo,2002,14,12401
Abruzzo,2002,15,13086
Abruzzo,2002,16,13708
Abruzzo,2002,17,13750
Abruzzo,2002,18,14029
Abruzzo,2002,19,14676
Abruzzo,2002,20,14663
Abruzzo,2002,21,14766
Abruzzo,2002,22,15435
Abruzzo,2002,23,16108
Abruzzo,2002,24,16340
Abruzzo,2002,25,17206
Abruzzo,2002,26,17808
Abruzzo,2002,27,18304
Abruzzo,2002,28,18278
Abruzzo,2002,29,18718
Abruzzo,2002,30,19211
Abruzzo,2002,31,18783
Abruzzo,2002,32,19474
Abruzzo,2002,33,19165
Abruzzo,2002,34,19471
Abruzzo,2002,35,20049
Abruzzo,2002,36,20220
Abruzzo,2002,37,20346
Abruzzo,2002,38,19296
Abruzzo,2002,39,18584
Abruzzo,2002,40,18475
Abruzzo,2002,41,18200
Abruzzo,2002,42,17931
Abruzzo,2002,43,17284
Abruzzo,2002,44,17143
Abruzzo,2002,45,17014
Abruzzo,2002,46,16996
Abruzzo,2002,47,16824
Abruzzo,2002,48,15875
Abruzzo,2002,49,15989
Abruzzo,2002,50,16188
Abruzzo,2002,51,16834
Abruzzo,2002,52,16918
Abruzzo,2002,53,17226
Abruzzo,2002,54,16541
Abruzzo,2002,55,16237
Abruzzo,2002,56,12388
Abruzzo,2002,57,13377
Abruzzo,2002,58,13196
Abruzzo,2002,59,12941
Abruzzo,2002,60,13161
Abruzzo,2002,61,15318
Abruzzo,2002,62,15511
Abruzzo,2002,63,14514
Abruzzo,2002,64,14653
Abruzzo,2002,65,14171
Abruzzo,2002,66,14740
Abruzzo,2002,67,14083
Abruzzo,2002,68,14642
Abruzzo,2002,69,13352
Abruzzo,2002,70,14029
Abruzzo,2002,71,14996
Abruzzo,2002,72,13085
Abruzzo,2002,73,12976
Abruzzo,2002,74,12933
Abruzzo,2002,75,12248
Abruzzo,2002,76,11960
Abruzzo,2002,77,11288
Abruzzo,2002,78,10591
Abruzzo,2002,79,10357
Abruzzo,2002,80,9879
Abruzzo,2002,81,9388
Abruzzo,2002,82,5693
Abruzzo,2002,83,3883
Abruzzo,2002,84,3738
Abruzzo,2002,85,4546
Abruzzo,2002,86,5016
Abruzzo,2002,87,4059
Abruzzo,2002,88,3827
Abruzzo,2002,89,3297
Abruzzo,2002,90,2358
Abruzzo,2002,91,2173
Abruzzo,2002,92,1507
Abruzzo,2002,93,1144
Abruzzo,2002,94,772
Abruzzo,2002,95,598
Abruzzo,2002,96,432
Abruzzo,2002,97,263
Abruzzo,2002,98,137
Abruzzo,2002,99,109
Abruzzo,2002,100,165
Abruzzo,2002,Total,1262187
Abruzzo,2003,0,10566
Abruzzo,2003,1,10823
Abruzzo,2003,2,10817
Abruzzo,2003,3,10888
Abruzzo,2003,4,10892
Abruzzo,2003,5,10932
Abruzzo,2003,6,11200
Abruzzo,2003,7,11230
Abruzzo,2003,8,11660
Abruzzo,2003,9,12191
Abruzzo,2003,10,12537
Abruzzo,2003,11,12760
Abruzzo,2003,12,12926
Abruzzo,2003,13,12788
Abruzzo,2003,14,12892
Abruzzo,2003,15,12461
Abruzzo,2003,16,13127
Abruzzo,2003,17,13764
Abruzzo,2003,18,13827
Abruzzo,2003,19,14082
Abruzzo,2003,20,14700
Abruzzo,2003,21,14676
Abruzzo,2003,22,14806
Abruzzo,2003,23,15582
Abruzzo,2003,24,16188
Abruzzo,2003,25,16451
Abruzzo,2003,26,17335
Abruzzo,2003,27,17916
Abruzzo,2003,28,18536
Abruzzo,2003,29,18425
Abruzzo,2003,30,18912
Abruzzo,2003,31,19339
Abruzzo,2003,32,18776
Abruzzo,2003,33,19576
Abruzzo,2003,34,19316
Abruzzo,2003,35,19592
Abruzzo,2003,36,20298
Abruzzo,2003,37,20433
Abruzzo,2003,38,20444
Abruzzo,2003,39,19400
Abruzzo,2003,40,18676
Abruzzo,2003,41,18585
Abruzzo,2003,42,18287
Abruzzo,2003,43,17991
Abruzzo,2003,44,17365
Abruzzo,2003,45,17222
Abruzzo,2003,46,17070
Abruzzo,2003,47,17060
Abruzzo,2003,48,16885
Abruzzo,2003,49,15953
Abruzzo,2003,50,16047
Abruzzo,2003,51,16209
Abruzzo,2003,52,16881
Abruzzo,2003,53,16987
Abruzzo,2003,54,17270
Abruzzo,2003,55,16598
Abruzzo,2003,56,16276
Abruzzo,2003,57,12408
Abruzzo,2003,58,13423
Abruzzo,2003,59,13241
Abruzzo,2003,60,12946
Abruzzo,2003,61,13150
Abruzzo,2003,62,15319
Abruzzo,2003,63,15520
Abruzzo,2003,64,14460
Abruzzo,2003,65,14653
Abruzzo,2003,66,14102
Abruzzo,2003,67,14644
Abruzzo,2003,68,14004
Abruzzo,2003,69,14534
Abruzzo,2003,70,13225
Abruzzo,2003,71,13828
Abruzzo,2003,72,14774
Abruzzo,2003,73,12836
Abruzzo,2003,74,12714
Abruzzo,2003,75,12698
Abruzzo,2003,76,11933
Abruzzo,2003,77,11613
Abruzzo,2003,78,10929
Abruzzo,2003,79,10142
Abruzzo,2003,80,9910
Abruzzo,2003,81,9327
Abruzzo,2003,82,8823
Abruzzo,2003,83,5344
Abruzzo,2003,84,3606
Abruzzo,2003,85,3458
Abruzzo,2003,86,4076
Abruzzo,2003,87,4473
Abruzzo,2003,88,3519
Abruzzo,2003,89,3236
Abruzzo,2003,90,2757
