Study,Review,Country,Age,Age group,Vax type,N,Estimate,Vaccine name,If titers: rSBA or hSBA,0,0.5,1,3,5,6,11,12,18,20,22,23,24,28,30,36,48,90,Overall,Wan,Dur,VE,MenB strain,Format,Extra info
2010Findlow,,UK,6 m,Infants,"Primary (2,4,6 m)",3,Titers,4CMenB/Bexsero,hSBA,,,"87 (73, 96)",,,"63 (44, 80)",,,,,,,,,,,,,,"1.0113878959112699 (0.797281653469771, 1.2254941383527687)","0.9887403280607692 (0.8159973750214231, 1.2542618980983677)",,44/76-SL for fHbp,Yes,
2010Findlow,,UK,6 m,Infants,"Primary (2,4,6 m)",3,Titers,4CMenB/Bexsero,hSBA,,,"85 (70, 94)",,,"34 (18, 54)",,,,,,,,,,,,,,"2.0998851712143933 (2.062744763957459, 2.1370255784713277)","0.4762165158877168 (0.4679401173641202, 0.48479095304135433)",,NZ98/254 for PorA,Yes,
2010Findlow,,UK,6 m,Infants,"Primary (2,4,6 m)",3,Titers,4CMenB/Bexsero,hSBA,,,"95 (82, 99)",,,"89 (71, 98)",,,,,,,,,,,,,,"0.2618188758407811 (0.21979904444885473, 0.3038387072327075)","3.8194343199614305 (3.2912199012027403, 4.549610315674921)",,5/99 for NadA,Yes,
2013Santolaya,,Chile,11-17 y,Adolescents,Catch-up (0 m),1,Titers,4CMenB/Bexsero,hSBA,"40 (30, 51)",,"93 (85, 97)",,,,,,,,,,"73 (63, 81)",,,,,,,"0.1618133703632224 (0.11912646159427115, 0.20450027913217367)","6.179959034011222 (4.889968875561656, 8.39444055180508)",,44/76-SL for fHbp,Yes,
2013Santolaya,,Chile,11-17 y,Adolescents,Catch-up (0 m),1,Titers,4CMenB/Bexsero,hSBA,"33 (23, 43)",,"96 (90, 99)",,,,,,,,,,"65 (55, 75)",,,,,,,"0.22034644281628352 (0.208947529144774, 0.23174535648779304)","4.5383078901517 (4.315081066371546, 4.785890525209932)",,5/99 for NadA,Yes,
2013Santolaya,,Chile,11-17 y,Adolescents,Catch-up (0 m),1,Titers,4CMenB/Bexsero,hSBA,"31 (21, 41)",,"94 (87, 98)",,,,,,,,,,"62 (52, 72)",,,,,,,"0.2454645969487914 (0.21426324077897207, 0.27666595311861075)","4.0739072454045955 (3.6144671533590738, 4.667156141036679)",,NZ98/254 for PorA,Yes,
2013Santolaya,,Chile,11-17 y,Adolescents,Catch-up (6 m),1,Titers,4CMenB/Bexsero,hSBA,"47 (33, 62)",,"94 (84, 99)",,,,,,"73 (58, 84)",,,,,,,,,,,"0.21803274756551216 (0.18013162158209578, 0.25593387354892855)","4.586466992530701 (3.9072592702693707, 5.551496129424703)",,44/76-SL for fHbp,Yes,
2013Santolaya,,Chile,11-17 y,Adolescents,Catch-up (6 m),1,Titers,4CMenB/Bexsero,hSBA,"33 (21, 48)",,"88 (76, 96)",,,,,,"73 (58, 84)",,,,,,,,,,,"0.2200008257931868 (0.05741382840193687, 0.38258782318443674)","4.545437483675886 (2.613778953225919, 17.417406709047548)",,5/99 for NadA,Yes,
2013Santolaya,,Chile,11-17 y,Adolescents,Catch-up (6 m),1,Titers,4CMenB/Bexsero,hSBA,"29 (17, 44)",,"92 (81, 98)",,,,,,"61 (46, 74)",,,,,,,,,,,"0.34218493444631226 (0.2748522545765892, 0.40951761431603534)","2.9223963399151254 (2.441897405732282, 3.638318345034147)",,NZ98/254 for PorA,Yes,
2013Santolaya,,Chile,11-17 y,Adolescents,"Catch-up (0,1 m)",2,Titers,4CMenB/Bexsero,hSBA,"32 (23, 42)",,"100 (96, 100)",,,,,,,,,"82 (74, 89)",,,,,,,,"0.0996872853696395 (0.09691982096878209, 0.10245474977049691)","10.031369560240401 (9.7604064451872, 10.317806925397647)",,44/76-SL for fHbp,Yes,
2013Santolaya,,Chile,11-17 y,Adolescents,"Catch-up (0,1 m)",2,Titers,4CMenB/Bexsero,hSBA,"26 (18, 36)",,"100 (96, 100)",,,,,,,,,"93 (86, 97)",,,,,,,,"0.03725078495455003 (0.03704942283264481, 0.03745214707645525)","26.845071888286586 (26.700738891113193, 26.99097377352083)",,5/99 for NadA,Yes,
2013Santolaya,,Chile,11-17 y,Adolescents,"Catch-up (0,1 m)",2,Titers,4CMenB/Bexsero,hSBA,"24 (16, 33)",,"100 (96, 100)",,,,,,,,,"75 (65, 83)",,,,,,,,"0.1405663934146465 (0.13047688947081246, 0.15065589735848053)","7.11407595875476 (6.63764258507939, 7.664192517585262)",,NZ98/254 for PorA,Yes,
2013Santolaya,,Chile,11-17 y,Adolescents,"Catch-up (0,2 m)",2,Titers,4CMenB/Bexsero,hSBA,"41 (31, 51)",,"100 (97, 100)",,,,,,,,"81 (72, 88)",,,,,,,,,"0.10547956861736103 (0.09767634341567862, 0.11328279381904345)","9.480509003858483 (8.827465904463724, 10.23789348608523)",,44/76-SL for fHbp,Yes,
2013Santolaya,,Chile,11-17 y,Adolescents,"Catch-up (0,2 m)",2,Titers,4CMenB/Bexsero,hSBA,"30 (22, 40)",,"100 (97, 100)",,,,,,,,"95 (89, 98)",,,,,,,,,"0.027411668602748598 (0.027286027330327815, 0.02753730987516938)","36.48081459367012 (36.31436783524408, 36.64879419396176)",,5/99 for NadA,Yes,
2013Santolaya,,Chile,11-17 y,Adolescents,"Catch-up (0,2 m)",2,Titers,4CMenB/Bexsero,hSBA,"30 (22, 40)",,"100 (97, 100)",,,,,,,,"75 (66, 83)",,,,,,,,,"0.14048437970264405 (0.12075157911482923, 0.16021718029045887)","7.118229102172411 (6.241527894743204, 8.28146519764388)",,NZ98/254 for PorA,Yes,
2013Santolaya,,Chile,11-17 y,Adolescents,"Catch-up (0,6 m)",2,Titers,4CMenB/Bexsero,hSBA,"31 (18, 45)",,"100 (93, 100)",,,,,,"84 (70, 93)",,,,,,,,,,,"0.11098565387394621 (0.10725999665464221, 0.11471131109325021)","9.010173523289474 (8.71753613893479, 9.323140324344957)",,44/76-SL for fHbp,Yes,
2013Santolaya,,Chile,11-17 y,Adolescents,"Catch-up (0,6 m)",2,Titers,4CMenB/Bexsero,hSBA,"22 (18, 45)",,"98 (89, 100)",,,,,,"94 (83, 99)",,,,,,,,,,,"0.042661139401143244 (0.03908133978696977, 0.04624093901531672)","23.44053661101236 (21.625858412364046, 25.587659109205184)",,5/99 for NadA,Yes,
2013Santolaya,,Chile,11-17 y,Adolescents,"Catch-up (0,6 m)",2,Titers,4CMenB/Bexsero,hSBA,"29 (17, 43)",,"100 (93, 100)",,,,,,"86 (73, 94)",,,,,,,,,,,"0.09691771329202925 (0.09459584479295187, 0.09923958179110663)","10.31803130751582 (10.076624487444334, 10.5712888572301)",,NZ98/254 for PorA,Yes,
2013Santolaya,,Chile,11-17 y,Adolescents,"Catch-up (0,1,2 m)",3,Titers,4CMenB/Bexsero,hSBA,"44 (36, 52)",,"100 (98, 100)",,,,,,,,"83 (76, 89)",,,,,,,,,"0.09024407255216116 (0.0812024281196495, 0.09928571698467281)","11.081060192867504 (10.071942172249958, 12.314902684024768)",,44/76-SL for fHbp,Yes,
2013Santolaya,,Chile,11-17 y,Adolescents,"Catch-up (0,1,2 m)",3,Titers,4CMenB/Bexsero,hSBA,"34 (27, 42)",,"100 (98, 100)",,,,,,,,"96 (92, 99)",,,,,,,,,"0.021676472041254665 (0.021580791499999884, 0.021772152582509446)","46.13296841371603 (45.93023111565667, 46.337503422893704)",,5/99 for NadA,Yes,
2013Santolaya,,Chile,11-17 y,Adolescents,"Catch-up (0,1,2 m)",3,Titers,4CMenB/Bexsero,hSBA,"30 (22, 58)",,"99 (96, 100)",,,,,,,,"86 (79, 91)",,,,,,,,,"0.0831945449106751 (0.08292876372832766, 0.08346032609302254)","12.020018873517332 (11.9817408679356, 12.05854223603251)",,NZ98/254 for PorA,Yes,
2013Santolaya,,Chile,11-17 y,Adolescents,"Catch-up (0,1,6 m)",3,Titers,4CMenB/Bexsero,hSBA,"40 (26, 54)",,"100 (93, 100)",,,,,,"92 (82, 98)",,,,,,,,,,,"0.054571614254636414 (0.054117801293297, 0.05502542721597583)","18.324544979261628 (18.173416374851236, 18.478208206952033)",,44/76-SL for fHbp,Yes,
